slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
21,2451.233333333333,0.002300581696886628,0.014320836239265668,0.008755424163140806,ATL,2026-06-07,flat_feasible
22,2359.1666666666665,0.0013475543044577261,0.005418947645974289,0.0049499352487597575,ATL,2026-06-07,flat_feasible
23,2190.9666666666667,0.0006589001958404827,0.0027648710538564518,0.004228748214695597,ATL,2026-06-07,flat_feasible
24,2216.866666666667,0.0006864023580812398,0.0024861772047950013,0.0037099735994330116,ATL,2026-06-07,flat_feasible
25,2134.7,0.0004209039826455302,0.001440719870918769,0.0019624029921026724,ATL,2026-06-07,flat_feasible
26,1964.0333333333333,1.730316037504695e-05,0.0,0.0,ATL,2026-06-07,flat_feasible
27,1899.3666666666666,2.850118694183177e-05,0.0,0.0,ATL,2026-06-07,flat_feasible
28,1867.6666666666667,7.553357037306658e-05,0.0,0.0,ATL,2026-06-07,flat_feasible
29,2024.4666666666667,0.00010025947291356828,0.0,0.0,ATL,2026-06-07,flat_feasible
30,2143.9333333333334,0.00028165336569315234,0.0,0.0,ATL,2026-06-07,flat_feasible
31,2137.9,0.0002565880696884635,0.0,0.0,ATL,2026-06-07,flat_feasible
32,1946.1333333333334,8.143464037504612e-05,0.0,0.0,ATL,2026-06-07,flat_feasible
33,1821.2666666666667,1.8516765186693908e-05,0.0,0.0,ATL,2026-06-07,flat_feasible
34,1666.5666666666666,8.529664153513794e-06,0.0,0.0,ATL,2026-06-07,flat_feasible
35,1542.0666666666666,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
36,1302.0333333333333,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
37,793.9666666666667,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
38,188.6,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
39,8.433333333333334,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
40,0.0,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
41,0.0,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
42,0.0,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
43,0.0,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
44,0.4666666666666667,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
45,20.1,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
0,377.2,0.0,0.0,0.0,ATL,2026-06-07,peak_everywhere
1,624.0333333333333,0.0,0.0,0.0,ATL,2026-06-07,peak_everywhere
2,991.0666666666667,0.0,0.0,0.0,ATL,2026-06-07,peak_everywhere
3,1533.6,0.0,0.0,0.0,ATL,2026-06-07,peak_everywhere
4,2152.4,0.0001855509200530909,0.0,0.0,ATL,2026-06-07,peak_everywhere
5,2725.3,0.010028267282648908,0.07925684048845462,0.03248351826565829,ATL,2026-06-07,peak_everywhere
6,3071.9666666666667,0.07915285472325322,0.29891359020364167,0.08745755639498361,ATL,2026-06-07,peak_everywhere
7,3182.1666666666665,0.13199870015595072,0.4408225604106972,0.09199064327341078,ATL,2026-06-07,peak_everywhere
8,3303.3,0.3678884175177783,0.838826811940254,0.15127761993316566,ATL,2026-06-07,peak_everywhere
9,3313.8,0.5594699986572879,1.0532564737860024,0.20852271898457567,ATL,2026-06-07,peak_everywhere
10,3271.766666666667,0.6315397305486876,1.107753644328344,0.26792317464435855,ATL,2026-06-07,peak_everywhere
11,3043.633333333333,0.2955918220238019,0.7383099501697535,0.20780759261839182,ATL,2026-06-07,peak_everywhere
12,2693.266666666667,0.007946567484423543,0.06408779400629705,0.023893516378546684,ATL,2026-06-07,peak_everywhere
13,2381.0333333333333,0.0004690851988196177,0.0005308521273612588,0.0010404510509887,ATL,2026-06-07,peak_everywhere
14,2125.6666666666665,4.6762526835632286e-05,0.0,0.0,ATL,2026-06-07,peak_everywhere
15,2025.0333333333333,0.00011258497185605514,0.0,0.0,ATL,2026-06-07,peak_everywhere
16,2137.3,0.00014023363733310743,0.0,0.0,ATL,2026-06-07,peak_everywhere
